ft3_id,ft3_name,f3_id,f3_name,relationship,attack_id
FT016,Phishing,T1660,Phishing,equivalent,T1660
FT016.001,Phishing: Phishing for Merchant Credentials,T1660,Phishing,derived,T1660
FT016.002,Phishing: Self Serve PII,T1660,Phishing,derived,T1660
FT016.003,Phishing: Backup Code,T1660,Phishing,derived,T1660
FT017,Ad Fraud,T1583.008,Acquire Infrastructure: Malvertising,subset,T1583.008
FT018,Social Media Attack,,,unmapped,
FT019,Website Cloning,F1020.002,Create Fake Materials: Fake Website,equivalent,
FT020,Identity Theft for Merchant Accounts,F1021,Create Fraudulent Merchant Account,subset,
FT021,Social Media Attacks,,,unmapped,
FT022,Churning,F1015,Churning,equivalent,
FT023,Dispute Avoidance,,,unmapped,
FT024,Fabricating shipping evidence,F1020.001,Create Fake Materials: Fake Documents,subset,
FT025,Fake Review Fraud,,,unmapped,
FT026,Falsifying Business Documents,F1027,Falsify Business Documents,equivalent,
FT026.001,Falsifying Business Documents: Fake Business Registration Certificate,F1027,Falsify Business Documents,subset,
FT026.002,Falsifying Business Documents: Fake Business License,F1027,Falsify Business Documents,subset,
FT026.003,Falsifying Business Documents: Fake VAT Certificate,F1027,Falsify Business Documents,subset,
FT026.004,Falsifying Business Documents: Fake IRS Letter 147C,F1027,Falsify Business Documents,subset,
FT026.005,Falsifying Business Documents: Fake SS-4 Confirmation Letter,F1027,Falsify Business Documents,subset,
FT027,Account Enumeration,,,unmapped,
FT027.001,Account Enumeration: Account Balance Enumeration,,,unmapped,
FT027.002,Account Enumeration: Account Tier Enumeration,,,unmapped,
FT027.003,Account Enumeration: Account Radar Rule Enumeration,,,unmapped,
FT028,Spearphishing,T1660,Phishing,derived,T1660
FT029,Cross Account Permissions,,,unmapped,
FT030,Card Testing,F1012,Card Testing,equivalent,
FT031,Compromised Payment Gateway,F1016,Compromise Payment Gateway,equivalent,
FT032,Credit Card Skimming,,,unmapped,
FT032.001,Credit Card Skimming: Malicious Javascript Skimming,F1007.003,Adversary-in-the-Browser: Malicious JavaScript Injection,equivalent,
FT033,No Shipping,,,unmapped,
FT033.001,No Shipping: Non-Delivery of Goods,,,unmapped,
FT033.002,No Shipping: Partial Shipping of Goods,,,unmapped,
FT033.003,No Shipping: Shipping of Incorrect Goods,,,unmapped,
FT033.004,No Shipping: Fabricating shipping evidence,F1020.001,Create Fake Materials: Fake Documents,subset,
FT034,Triangulation Fraud,,,unmapped,
FT035,Dispute Avoidance,,,unmapped,
FT036,Refund Fraud,,,unmapped,
FT037,Account Manipulation,F1005,Account Manipulation,equivalent,
FT037.001,Account Manipulation: Additional User Account,F1005,Account Manipulation,derived,
FT037.002,Account Manipulation: Additional Authorized Account,F1005,Account Manipulation,derived,
FT037.003,Account Manipulation: Additional Linked Account,F1005,Account Manipulation,derived,
FT038,Data Exfiltration,,,unmapped,
FT038.001,Data Exfiltration: Revenue,,,unmapped,
FT038.002,Data Exfiltration: Payout,,,unmapped,
FT038.003,Data Exfiltration: Billing Analytics,,,unmapped,
FT038.004,Data Exfiltration: Sigma Reports,,,unmapped,
FT039,Data Transfer,,,unmapped,
FT039.001,Data Transfer: Data Pipeline,,,unmapped,
FT040,Carding Markets,,,unmapped,
FT041,Shell Companies,,,unmapped,
FT042,Account Manipulation,F1005,Account Manipulation,equivalent,
FT042.001,Account Manipulation: Additional Payment Methods,F1005,Account Manipulation,derived,
FT042.002,Account Manipulation: Additional Linked Account,F1005,Account Manipulation,derived,
FT042.003,"Account Manipulation: Additional Buy Now, Pay Later",F1005,Account Manipulation,derived,
FT042.004,Account Manipulation: Additional Payout Schedule,F1005,Account Manipulation,derived,
FT042.005,Account Manipulation: Additional Bank Accounts,F1005,Account Manipulation,derived,
FT042.006,Account Manipulation: Additional Connect Accounts,F1005,Account Manipulation,derived,
FT042.007,Account Manipulation: Enable Account Features,F1005.007,Account Manipulation: Enable Account Features,equivalent,
FT042.008,Account Manipulation: Top-Up Platform Balance,F1005,Account Manipulation,derived,
FT043,Scheduled Transfer,F1044,Scheduled Transfer,equivalent,
FT044,Scheduled Payout,,,unmapped,
FT045,DDoS,,,unmapped,
FT046,DoS,,,unmapped,
FT047,Account Deletion,,,unmapped,
FT048,Account Access Removal,T1531,Account Access Removal,equivalent,T1531
FT049,Fake Merchant Account,F1021,Create Fraudulent Merchant Account,equivalent,
FT050,Card Cashing,,,unmapped,
FT051,Fraudulent Purchases,F1028,Fradulent Purchasing,equivalent,
FT051.001,Fraudulent Purchases: Subscriptions,F1028,Fradulent Purchasing,subset,
FT051.002,Fraudulent Purchases: SMS Services,F1028,Fradulent Purchasing,subset,
FT051.003,Fraudulent Purchases: LLM Services,F1028,Fradulent Purchasing,subset,
FT051.004,Fraudulent Purchases: Discord,F1028,Fradulent Purchasing,subset,
FT052,Falsifying Identity Documents,F1020.001,Create Fake Materials: Fake Documents,equivalent,
FT052.001,Falsifying Identity Documents: Fake Passport,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.002,Falsifying Identity Documents: Fake Drivers License ,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.003,Falsifying Identity Documents: Fake National Identity Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.004,Falsifying Identity Documents: Fake U.S. Visa Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.005,Falsifying Identity Documents: Fake NYC Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.006,Falsifying Identity Documents: Fake Border Crossing Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.007,Falsifying Identity Documents: Fake Resident Permit ID / U.S. Green Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.008,Falsifying Identity Documents: Fake Passport Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT052.009,Falsifying Identity Documents: Fake State Issued ID Card,F1020.001,Create Fake Materials: Fake Documents,subset,
FT053,3DS Bypass,F1001,3DS Bypass,equivalent,
FT054,Fake e-Commerce Website,F1020.002,Create Fake Materials: Fake Website,equivalent,
FT055,Fake Payment Gateway,F1020.002,Create Fake Materials: Fake Website,subset,
FT056,Card Holder Details Collection,,,unmapped,
FT056.001,Card Holder Details Collection: Billing Information,,,unmapped,
FT056.002,Card Holder Details Collection: Shipping Information,,,unmapped,
FT056.003,Card Holder Details Collection: Card Details,,,unmapped,
